normalization_type,group_key,kpi,mean,std
eu_year,2017.0,defense_spending,1.2037037037037037,0.5302259906300343
eu_year,2018.0,defense_spending,1.1962962962962962,0.5236568764148182
eu_year,2019.0,defense_spending,1.1666666666666667,0.4779765040894149
eu_year,2020.0,defense_spending,1.3444444444444443,0.6128956074577674
eu_year,2021.0,defense_spending,1.2592592592592593,0.5692500189245356
eu_year,2022.0,defense_spending,1.2888888888888888,0.5597618541248889
eu_year,2023.0,defense_spending,1.4259259259259258,0.6858978352902424
eu_year,2024.0,defense_spending,1.5925925925925926,0.7775335391855485
eu_year,2025.0,defense_spending,1.6037037037037036,0.7663507338637103
eu_year,2014.0,economic_affairs_spending,5.814814814814815,1.7898654233260765
eu_year,2015.0,economic_affairs_spending,5.477777777777778,1.4183775491013924
eu_year,2016.0,economic_affairs_spending,4.685185185185185,1.1983012667630484
eu_year,2017.0,economic_affairs_spending,4.718518518518518,1.2187752481130822
eu_year,2018.0,economic_affairs_spending,5.125925925925926,1.5599784497013938
eu_year,2019.0,economic_affairs_spending,4.9222222222222225,1.3039388061778088
eu_year,2020.0,economic_affairs_spending,7.1037037037037045,1.7992480227287866
eu_year,2021.0,economic_affairs_spending,6.537037037037037,1.7471180991626334
eu_year,2022.0,economic_affairs_spending,6.177777777777777,2.0616150004926745
eu_year,2023.0,economic_affairs_spending,5.792592592592593,1.6813286700898478
eu_year,2024.0,economic_affairs_spending,5.32962962962963,1.4198631610163692
eu_year,2025.0,economic_affairs_spending,5.32962962962963,1.4198631610163692
eu_year,2014.0,fuel_energy_spending,0.4740740740740741,0.34927682716478914
eu_year,2015.0,fuel_energy_spending,0.46296296296296297,0.32480544253225735
eu_year,2016.0,fuel_energy_spending,0.45185185185185184,0.3080588984273704
eu_year,2017.0,fuel_energy_spending,0.4703703703703703,0.3123297256904272
eu_year,2018.0,fuel_energy_spending,0.4518518518518519,0.36728774128778774
eu_year,2019.0,fuel_energy_spending,0.4740740740740741,0.37064662062255116
eu_year,2020.0,fuel_energy_spending,0.5481481481481482,0.38567659865026654
eu_year,2021.0,fuel_energy_spending,0.5185185185185185,0.4788102539203387
eu_year,2022.0,fuel_energy_spending,1.2962962962962963,1.1866181686046602
eu_year,2023.0,fuel_energy_spending,0.9777777777777777,0.7292426700316375
eu_year,2024.0,fuel_energy_spending,0.6259259259259259,0.46375772238446344
eu_year,2025.0,fuel_energy_spending,0.6185185185185185,0.4690719454715769
eu_year,2014.0,communication_spending,0.03333333333333333,0.055470019622522924
eu_year,2015.0,communication_spending,0.03333333333333333,0.055470019622522924
eu_year,2016.0,communication_spending,0.022222222222222227,0.04236592728681618
eu_year,2017.0,communication_spending,0.022222222222222227,0.04236592728681617
eu_year,2018.0,communication_spending,0.02592592592592593,0.04465760847047225
eu_year,2019.0,communication_spending,0.03333333333333333,0.04803844614152614
eu_year,2020.0,communication_spending,0.04444444444444445,0.05773502691896258
eu_year,2021.0,communication_spending,0.040740740740740744,0.05007117441325405
eu_year,2022.0,communication_spending,0.05185185185185185,0.07000203497245562
eu_year,2023.0,communication_spending,0.040740740740740744,0.057239438120523824
eu_year,2024.0,communication_spending,0.04444444444444445,0.05773502691896258
eu_year,2025.0,communication_spending,0.04444444444444445,0.05773502691896258
eu_year,2014.0,environment_spending,0.8333333333333334,0.3281650616569468
eu_year,2015.0,environment_spending,0.8407407407407407,0.3618959256038412
eu_year,2016.0,environment_spending,0.7,0.3063431961806135
eu_year,2017.0,environment_spending,0.6925925925925925,0.29603264623235
eu_year,2018.0,environment_spending,0.7296296296296296,0.30485155885196474
eu_year,2019.0,environment_spending,0.7370370370370369,0.30778132615437337
eu_year,2020.0,environment_spending,0.7703703703703704,0.3123297256904272
eu_year,2021.0,environment_spending,0.7518518518518519,0.2966095210494902
eu_year,2022.0,environment_spending,0.7333333333333334,0.282842712474619
eu_year,2023.0,environment_spending,0.7666666666666666,0.2855494029733936
eu_year,2024.0,environment_spending,0.774074074074074,0.31573186359094274
eu_year,2025.0,environment_spending,0.7777777777777778,0.32025630761017426
eu_year,2014.0,health_spending,6.15925925925926,1.5719315064495212
eu_year,2015.0,health_spending,6.1,1.555882139099627
eu_year,2016.0,health_spending,6.007407407407407,1.5221255194188477
eu_year,2017.0,health_spending,5.977777777777778,1.5250052542994812
eu_year,2018.0,health_spending,6.02962962962963,1.475130975883632
eu_year,2019.0,health_spending,6.148148148148148,1.3843549929258558
eu_year,2020.0,health_spending,7.159259259259259,1.3647370158778296
eu_year,2021.0,health_spending,7.248148148148148,1.4262296638799286
eu_year,2022.0,health_spending,6.7407407407407405,1.3672710775227424
eu_year,2023.0,health_spending,6.618518518518518,1.2854322939525764
eu_year,2024.0,health_spending,6.822222222222222,1.3821202589704018
eu_year,2025.0,health_spending,6.82962962962963,1.3758395520315851
eu_year,2014.0,education_spending,5.1037037037037045,0.9982605954980978
eu_year,2015.0,education_spending,5.011111111111112,1.0419409895195724
eu_year,2016.0,education_spending,4.855555555555555,1.0470961065777373
eu_year,2017.0,education_spending,4.774074074074075,1.0596053665226184
eu_year,2018.0,education_spending,4.82962962962963,1.0413803025182178
eu_year,2019.0,education_spending,4.888888888888889,0.9834528393265674
